trial_number,k_days,rsi_ob,rsi_os,t_vol,pat_thresh,tp,sl,rsi_w,long_thresh,short_thresh,sharpe_ratio
0,20,81,24,1.9713916998996044,0.7793693730312792,0.12294907955528155,0.0510422195566411,0.8775844874851984,0.5252789978189089,0.3284726860420974,0.01468284018872519
1,15,74,25,1.2881159054405271,0.47685330728158964,0.1058662809311911,0.02470566344557553,0.1536519640839794,0.686575105557371,0.6703681730009955,-0.046366238274960725
2,26,79,35,2.9654014633884627,0.7666045974415947,0.14302371897372068,0.01974547586228035,0.3298439454392922,0.635847350358584,0.42420896364535166,0.012071637876001351
3,23,78,34,2.0486669296627027,0.615077669510438,0.10493551713874744,0.029248927126930835,0.8566547333870353,0.44300170130128425,0.46927009067782366,0.013079734857851437
4,23,68,16,2.6202766663154655,0.4972018466583678,0.03779428645620532,0.05846158930753579,0.7816881948178307,0.5817681372709913,0.5337226635080725,0.06404754500263106
5,23,83,20,1.6750308122626574,0.5430271433411495,0.09598403414575164,0.010141527765900672,0.6644862765342795,0.46538352785663445,0.5066451173636835,0.016795354261177328
6,6,80,16,2.0808933012327904,0.44970733890357745,0.06353085291240985,0.01770137853680006,0.6483026520097794,0.33913446875575604,0.39639730134616996,0.025967047168120358
7,12,81,19,2.313127346887507,0.8850791758344967,0.05865775828143137,0.051533873749394,0.4955873838860392,0.5760282723748669,0.3687290595876133,0.024841696081193916
8,21,83,29,2.698147567416445,0.5252226385197201,0.056351940654052246,0.04649487767114356,0.2554145758434079,0.5976447073607069,0.6075789620506786,-0.021321839785141898
9,19,76,31,2.0960248477380485,0.899420867011292,0.14108081653879997,0.010556474505767582,0.6023152309265518,0.6320631088270616,0.41463796510227013,0.047480364432101595
10,29,68,15,2.5815348756839467,0.6637734303496086,0.02271394490958576,0.07525359793000663,0.7655089646495408,0.3841564069528603,0.5589409943123482,0.10042540397452815
11,30,67,15,2.587621969341159,0.6547574647087067,0.025437156673619357,0.0745669914442476,0.7725549627188595,0.36438911996484913,0.5646944840992839,0.09975604305987246
12,30,65,15,2.5568885952564644,0.6736907615970741,0.022450626909316207,0.07937535399737759,0.7402512398562894,0.3331703920320556,0.5668106621378002,0.0697183933949508
13,30,71,21,2.9284549733678693,0.6518565947062298,0.021376273259565547,0.07800944987824938,0.4779784747134927,0.3991869293356563,0.617105067508745,0.07552525283888077
14,27,66,18,2.449249118630462,0.7228938942929641,0.04373961560689903,0.0668808298391035,0.7760331708156054,0.38782118567452156,0.6900905186254863,-0.005402517624421886
15,26,70,22,1.598317893802139,0.584422860974855,0.07709010793307133,0.06558479262414109,0.5869067309845782,0.3030792686391419,0.5825112506518146,-0.03204920587453048
16,30,73,27,2.3066262507132103,0.40052410309376196,0.038686329368894844,0.03636522522016723,0.41792960348948516,0.3940337991235468,0.47850780676561855,0.052757133046750664
17,15,68,17,2.8078072403981147,0.6991638035627157,0.0758967550990921,0.06721233501160671,0.7132713192141429,0.48986213573291665,0.6342060895175587,-0.022702450945654068
18,5,71,23,1.004510717066275,0.806795796194459,0.031571296809236385,0.07270885777381375,0.8410198973736204,0.4283918914812021,0.5366423085010007,0.10754002253867113
19,5,71,23,1.0102019464724166,0.8221113375240812,0.044596551155632144,0.05907867599899611,0.8201107587083333,0.44739044759057345,0.5129205847766724,0.05323819629736786
20,10,76,27,1.5884077885708026,0.8173169828871721,0.0317980422214873,0.07256100450750144,0.8690936034612314,0.5352045662280731,0.4463647863088772,0.12413709931286337
21,9,76,27,1.0115681600319382,0.8216675437443481,0.03560840178900892,0.07189926093749471,0.8985737981651294,0.5112497533286576,0.4601501301558171,0.06447170898443841
22,8,73,32,1.3974546276102782,0.8442110448832297,0.05167091728798501,0.060992424812273974,0.6988121118641706,0.42506119391249925,0.5381578622612254,0.0374388788521264
23,10,70,27,1.8184092563736083,0.7596846351185882,0.030422537400006645,0.07213281296007981,0.8420693503493946,0.5289269981343048,0.4430864437350861,0.12386373776191595
24,11,70,26,1.708631571399874,0.7557489013845637,0.06853984889740228,0.07127296618666087,0.8409380283570619,0.5451118069529675,0.438319932650686,0.023675460865703147
25,8,77,29,1.3001834647714936,0.8053377207221265,0.0314118814357801,0.038316331702690824,0.5803416462494307,0.4862535156114197,0.4457880343379114,0.13717468399374247
26,13,77,29,1.338422841740294,0.8581526440582699,0.04422570011927304,0.03785732452359978,0.5800236749386236,0.48261277819053877,0.37581557865932413,0.08166745672268524
27,10,85,30,1.8459725223539885,0.7196381577145253,0.0502906691718088,0.03870012585438541,0.3881921027768059,0.5521416346502922,0.3315116811540788,0.07907943668164587
28,7,74,28,1.4997725377395468,0.7890513501603338,0.030438223328040772,0.043257507647057894,0.5238320459710901,0.5164346254673863,0.4489291794350487,0.12367905315859051
29,14,75,25,1.1944047165142198,0.7464361957660673,0.12194812998488533,0.05205595456762627,0.642082056925329,0.538113958535997,0.3283832539957293,0.0030118646100004342
30,17,78,31,1.8199356644842206,0.8573057854502024,0.06845597167090343,0.032541455218668254,0.8968650867562156,0.6178154272143597,0.3019035997620185,0.09128345704837197
31,7,73,27,1.5128408779800175,0.7903098279329881,0.030510622987548426,0.04281829003115972,0.4354576488159022,0.5139276427205659,0.43525424571698207,0.12969530556826722
32,8,74,26,1.5089074901294224,0.7805302423228327,0.031786621898145746,0.04546310095735995,0.23735741713452554,0.4938573201432951,0.48687001906257893,0.02935648118199935
33,10,72,24,1.2138296714387637,0.7983562753104524,0.05015853904861618,0.055326682008317876,0.43042817959093504,0.5570819371276949,0.39537372427374645,0.038789566582949846
34,7,76,33,1.9018198501048713,0.7482286137789387,0.0292616998996756,0.028051009987550623,0.3535491199281357,0.696105799168105,0.41921274960684957,0.17792137697434535
35,7,76,34,1.946033783959655,0.72762903526727,0.04150106010675769,0.02603303160160112,0.32741887051888446,0.47142596758169153,0.4259547481415994,0.05157503264678847
36,7,79,33,1.5163719752011757,0.836868013548708,0.095700366545819,0.030682173763438434,0.1640535830136125,0.6633382414790455,0.4051902881678023,-0.01064303044060231
37,12,78,35,1.6759729397486232,0.615721162818391,0.027716445075820773,0.020591841781531978,0.34300687087188075,0.6990847093589841,0.36100176804295253,0.18809351341717565
38,12,78,35,1.687011074627074,0.6162146922097058,0.02098341700057864,0.02053477790252964,0.32782836336808047,0.6747647511276031,0.36695122259121393,0.20036463072446084
39,17,81,35,2.185659795789146,0.6056173733167662,0.021801456507449156,0.02011583604984822,0.34176234744083633,0.6983334632684373,0.3578649395725447,0.18195300665431033
40,17,81,35,1.9829054632129084,0.6142034429831296,0.11492889649509294,0.019397723259084503,0.3115518276341372,0.6978784939554548,0.35538781020971033,0.0003512201670541997
41,13,79,34,2.103269307633635,0.5811950225267386,0.021031741239937684,0.015530828501755163,0.285670677523927,0.6691502209010365,0.37987874936324606,0.21856929043782927
42,16,80,34,2.1853776040489814,0.5636353294623417,0.020468992635555194,0.014537551589795342,0.271193455914251,0.6708118140003173,0.3531900949440779,0.17855382087100446
43,16,82,35,2.2184695706337596,0.5735986654767073,0.020702210525495292,0.014661690939021633,0.26291096011949994,0.6661068451178317,0.3478814033684199,0.17196777870076269
44,20,80,34,2.1917241536402035,0.6214769496277304,0.02031457314496419,0.023122895642200148,0.11785304600240828,0.6719769255708667,0.3820273255304751,0.012604541836534797
45,13,79,33,2.117284926361971,0.5404033425409935,0.03818380671468018,0.014010891074647964,0.29345019945520445,0.6405436771360531,0.31555906360314634,0.0766511785310851
46,19,83,34,2.3980638027281107,0.577561550906819,0.024460013215171626,0.022378866015788788,0.21147103760707145,0.677505945866453,0.3542507795607678,0.05737152388980391
47,15,81,32,1.7001646497206335,0.4997665069170773,0.024361427853395328,0.01602204473558422,0.17832753612608254,0.6476789590406834,0.33705108804331374,0.007454807040576702
48,12,79,35,2.046502915646963,0.6229599905975371,0.13562451604374465,0.010042430849130158,0.3604428907292876,0.6169852448773498,0.37024534812570514,0.015260968757828482
49,18,80,32,2.1929175991166634,0.5972753549217213,0.05682047968048842,0.0199975874922698,0.2783558865607185,0.652150757138361,0.3887746207189715,0.019009976527276474
50,14,78,34,2.43728650240893,0.5574342914022504,0.026120584665044085,0.014083332241970642,0.19261165685373055,0.6860115795881129,0.3000058832166935,-0.014021666754064016
51,12,82,33,1.9072099363170774,0.6824496185324561,0.026825781919134983,0.028578627333011728,0.3726420782248019,0.6861257198226085,0.36307553481616406,0.19951103597274283
52,12,84,35,2.3026669107104656,0.6771914665722663,0.03687028554767338,0.01766454472127673,0.38333410926690814,0.6149815473768563,0.36020848180390586,0.1427835953448894
